,canonical
0,CC(C)NC[C@@H](O)COc1cccc2ccccc12
1,CC(C)(C)OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1
2,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
3,CC(=O)NCCCOc1cccc(CN2CCCCC2)c1
4,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O
5,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O
6,CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12
7,Cc1nccn1C[C@@H]1CCc2c(c3ccccc3n2C)C1=O
8,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
9,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N
10,CN1Cc2c(-c3noc([C@](C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O
11,Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O
12,ClCCl
13,CC(C)(C)NC(=O)[C@H]1C[C@H]2CCCC[C@H]2CN1C[C@H](O)[C@@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1
14,CCC(=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1
15,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1
16,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
17,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)C2
18,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
19,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
20,CCCC(C)C
21,C[C@H](N)Cc1ccccc1
22,CN(C)Cc1ccc(CSCCNc2nc(=O)c(Cc3ccc4ccccc4c3)c[nH]2)o1
23,CC(C)(C)NC[C@@H](O)COc1cccc2c1C[C@H](O)[C@H](O)C2
24,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1
25,CCN/C(=N/C#N)NCCSCc1ncccc1Br
26,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
27,CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1
28,FC(F)(F)c1ccc(N2CCNCC2)nc1Cl
29,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O
30,CCC[C@@H](C)C1(CC)C(=O)NC(=O)NC1=O
31,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
32,O=C(NCCCOc1cccc(CN2CCCCC2)c1)c1ccccc1
33,CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccsc2C1=O
34,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
35,CCOC(=O)c1cncn1[C@@H](C)c1ccccc1
36,CN(C)c1cc(-c2nc(N)n[nH]2)ccn1
37,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
38,Nc1ccc(-c2nc3ccc(O)cc3s2)cc1I
39,CC(=O)Nc1cccc(-c2csc(N=C(N)N)n2)c1
40,CN1[C@@H]2CCC[C@H]1C[C@H](NC(=O)c1nn(C)c3ccccc13)C2
41,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1
42,NC(N)=Nc1nc(-c2ccccc2)cs1
43,Cc1cccc(C)c1OC[C@@H](C)N
44,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C
45,CNCCCN1c2ccccc2Sc2ccc(Cl)cc21
46,CN(C)Cc1ccc(-c2cccc(N[C@@H]3N=CC=C3[N+](=O)[O-])c2)o1
