,canonical
0,C(=O)[C@H](CCCCNC(=O)OCCOC)NC(=O)OCCOC
1,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
2,O=C([O-])[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-]
3,[H]/[NH+]=C(\N)C1=CC(=O)/C(=C\C=c2ccc(=C(N)[NH3+])cc2)C=C1
4,[H]/[NH+]=C(\N)c1ccc(OCCCCCOc2ccc(/C(N)=[NH+]/[H])cc2)cc1
5,O=[N+]([O-])[O-]
6,[N]=O
7,
8,O=[99Tc](=O)(=O)[O-]
9,O=P([O-])([O-])F
10,O=S(=O)([O-])[O-]
11,O=S([O-])([O-])=S
12,[Se]
13,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
14,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
15,CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O
16,C#CC1(OC(N)=O)CCCCC1
17,C#CC[NH2+][C@@H]1CCc2ccccc21
18,C#CC[C@@H](Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1
19,C#N
20,N#C[Fe-2](C#N)(C#N)(C#N)(C#N)N=O
21,O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O
22,[NH3+][C@@H](CS)C(=O)[O-]
23,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@](O)(CO)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O
24,O=S(=O)(OC[C@H]1O[C@@H](O[C@]2(COS(=O)(=O)O[Al](O)O)O[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]2OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]1OS(=O)(=O)O[Al](O)O)O[Al](O)O
25,OC[C@H]1O[C@H](O)[C@H](F)[C@@H](O)[C@@H]1O
26,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
27,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
28,O=C[C@H](O)[C@@H](O)[C@H](O)CO
29,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
30,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
31,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO
32,NC(N)=[NH2+]
33,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br
34,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
35,O=C([O-])[C@@H](O)[C@@H](O)C(=O)[O-]
36,O=C([O-])[C@@H](S)[C@@H](S)C(=O)[O-]
37,O=P([O-])([O-])OCC(Cl)(Cl)Cl
38,[NH3+]C(CO)(CO)CO
39,OCC(O)CO
40,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
41,OC[C@H](S)CS
42,FC(F)(F)C(F)(F)C(F)(F)F
43,FC(F)(F)[C@@H](Cl)Br
44,FC(F)O[C@@H](Cl)C(F)(F)F
45,FC(F)O[C@@H](F)C(F)(F)F
46,FC(F)=C(F)F
47,[NH3+]CC(=O)[O-]
48,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]
49,FC(F)OC(F)(F)[C@H](F)Cl
50,O=C([O-])/C=C/C(=O)[O-]
51,NC(N)=[NH+]CCC[C@H]([NH3+])C(=O)[O-]
52,NCC[NH2+]CCNCC[NH2+]CCN
53,[NH3+]CCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-]
54,[NH3+]CCC[NH2+]CCSP(=O)([O-])[O-]
55,[NH3+]CCC[C@]([NH3+])(C(=O)[O-])C(F)F
56,[NH3+]CCCC(O)(P(=O)([O-])[O-])P(=O)([O-])[O-]
57,O=C([O-])CCC(=O)[O-]
58,[NH3+]CC(=O)CCC(=O)[O-]
59,O=C([O-])CCCO
60,NC(=O)CC[C@H]([NH3+])C(=O)[O-]
61,[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-]
62,[NH3+]CCCCCC(=O)[O-]
63,O=C([O-])CCCCCCCC(=O)[O-]
64,O=C([O-])CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC(=O)[O-]
65,O=C([O-])CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC[NH+](CC(=O)[O-])CC(=O)[O-]
66,NCC[NH2+]CCNCC[NH3+]
67,O=C(NC[C@H](O)CO)c1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(N(CCO)C(=O)CO)c1I
68,O=S(=O)([O-])CCS
69,[NH3+]CCS
70,O=C([O-])[O-]
71,O=C([O-])P(=O)([O-])[O-]
72,NC(N)=O
73,NC(=O)NO
74,FCOC(C(F)(F)F)C(F)(F)F
75,C/[NH+]=C1/CN([O-])C(c2ccccc2)=c2cc(Cl)ccc2=N1
76,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1
77,C/C=C/C1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H]([NH3+])c3ccc(O)cc3)[C@H]2SC1
78,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O
79,NC(=[NH2+])NC(=O)c1nc(Cl)c(N)nc1N
80,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O
81,[NH3+]C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]([NH3+])C[C@@H]2[NH3+])[C@H]([NH3+])C[C@@H]1O
82,[NH3+]CC[C@H](O)C(=O)N[C@@H]1C[C@H]([NH3+])[C@@H](O[C@H]2O[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]1O
83,OCC[N@@H+]1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
84,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
85,[NH3+]C[C@H]1CC[C@H](C(=O)[O-])CC1
86,NC(=O)N/C=C1\NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)C[C@@H]([NH3+])CCC[NH3+])CNC(=O)[C@H]([C@H]2C[C@H](O)[NH+]=C(N)N2)NC1=O
87,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H]([NH3+])[C@@]12C[C@@H]3C[C@@H](C[C@@](O)(C3)C1)C2
88,O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21
89,[NH3+]C[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H]([NH3+])C[C@H]([NH3+])[C@H]3O[C@H]3O[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]3[NH3+])O[C@@H]2CO)[C@H]([NH3+])[C@@H](O)[C@@H]1O
