,canonical
0,CCOc1ccc2nc(S(N)(=O)=O)sc2c1
1,CCN1C(=O)N[C@@H](c2ccccc2)C1=O
2,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C
3,CCCN(CC)[C@@H](CC)C(=O)Nc1c(C)cccc1C
4,CC(O)(P(=O)(O)O)P(=O)(O)O
5,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C
6,O=S(=O)(Cl)c1ccccc1
7,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1
8,OC[C@@H](O)[C@H](O)[C@@H](O)CO
9,CCCCCCCC(=O)[O-]
10,NC(=O)c1ccc[n+]([C@@H]2O[C@H](CO[P@@](=O)([O-])O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
11,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I
12,CC(C)COC(=O)C(C)C
13,C=C(C)C(=O)OCCOC(=O)C(=C)C
14,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2
15,O=C([O-])Cc1cccc2ccccc12
16,CCCCCCCCCCOC[C@H](O)CN
17,CCN(CC)C(=O)c1cccnc1
18,COc1cc(O)cc(O)c1
19,CCOC(=O)c1cccnc1
20,CCOc1ccc(S(=O)(=O)O)c2cccnc12
21,O=C(O)[C@H](O)c1ccccc1
22,Nc1ccc(/N=N/c2ccccc2)cc1
23,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
24,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2
25,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
26,C#CCO
27,Nc1ccccc1S(=O)(=O)O
28,C[C@H](O)CC(C)(C)O
29,CC(C)(C)CC(C)(C)N
30,CC(=O)CC(C)C
31,CCCC(C)=O
32,Nc1nc2ccccc2[nH]1
33,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
34,c1ccc(-c2ccccc2)cc1
35,CNC(=O)Nc1ccc(Cl)c(Cl)c1
36,CC(=O)Nc1ccc(C)c(Cl)c1
37,CCCCNC(=S)NCCCC
38,CCCCNC(=O)NCCCC
39,CC(C)N(c1ccccc1)C(C)C
40,CCc1cccc(C)c1
41,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1
42,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO
43,CCCCCCCCCC/C=C/[C@@H]1CC(=O)OC1=O
44,CC(C)[C@H](Nc1ccc(C(F)(F)F)cc1Cl)C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1
45,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]
46,CCO[P@](=S)(CC)Sc1ccccc1
47,CC/C=C\CCCCO
48,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1
49,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
50,CC(=O)CCC(C)=O
51,N#CCCNCCC#N
52,CCOc1ccc(/N=N\c2ccc(/C=C/c3ccc(/N=N\c4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1
53,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1
54,O=C(Nc1ccc2c(O)c(/N=N/c3ccc(/N=N\c4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1
55,CSc1ccc2c(c1)[C@@H](N1CCN(C)CC1)Cc1ccccc1S2
56,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1
57,Cc1ccccc1CCO
58,Cc1nc(C)c(C)nc1C
59,CC1=C[C@@H](O)CC(C)(C)C1
60,Cc1cnc(C)c(C)n1
61,CC(C)COC(=O)c1ccccc1
62,C=C(C)[C@@H]1CC=C(C)CC1
63,O=[N+]([O-])[O-]
64,Nc1ccc(N)c([N+](=O)[O-])c1
65,C[C@H]1COc2ccccc2N1
66,O=C(O)c1cc(Cl)cc(Cl)c1O
67,CCCCCCCCCCCC(=O)NCCCN(C)C
68,CC(C)CCCCCOC(=O)CCS
69,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O
70,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS
71,C=CCOc1c(Br)cc(Br)cc1Br
72,F[B-](F)(F)F
73,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O
74,C(=C/c1ccccc1)\c1ccccc1
75,Cc1ccc2c(ccc3ccccc32)c1
