,canonical
0,O=[N+]([O-])c1ccc(Cl)cc1
1,C[SiH](C)O[Si](C)(C)O[Si](C)(C)O[SiH](C)C
2,CN1CCN(C(=O)C2CCCCC2)CC1
3,Nc1ccc([N+](=O)[O-])cc1
4,O=[N+]([O-])c1ccc(O)cc1
5,Cc1cc(=O)[nH]o1
6,COc1ccc(C(C)=O)cc1
7,CN(C)c1ccc(C=O)cc1
8,O=[N+]([O-])c1ccc(CBr)cc1
9,O=[N+]([O-])c1ccc(CCl)cc1
10,CNc1ccc([N+](=O)[O-])cc1
11,OC[C@H]1O[C@@H]2O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@@H](O[C@H]1[C@H](O)[C@H]2O)O[C@@H]7CO)O[C@@H]6CO)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO
12,CC(C)c1ccc(C(C)C)cc1
13,CC(=O)c1ccc([N+](=O)[O-])cc1
14,O=C(Cl)c1ccc(C(=O)Cl)cc1
15,O=C(O)c1ccc(C(=O)O)cc1
16,CN(C)c1ccc(N(C)C)cc1
17,CCCCCCCC(OC)OC
18,[Ba+2]
19,CCN(CC)CCC[C@H](C)Nc1cc(/C=C/c2ccccc2Cl)nc2cc(Cl)ccc12
20,Cl[Nd](Cl)Cl
21,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1
22,Cl[Dy](Cl)Cl
23,Cl[In](Cl)Cl
24,O=P(Cl)(Cl)Cl
25,Cl[Sb](Cl)Cl
26,ClP(Cl)(Cl)(Cl)Cl
27,[Co+2]
28,CCCCCCCCCCCl
29,O=[N+]([O-])c1ccc(CCO)cc1
30,CCCCCCCCCCCCCCC(=O)O
31,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
32,CCOc1ccc([N+](=O)[O-])cc1
33,Cc1cccn2c(=O)c(-c3nnn[n-]3)cnc12
34,CCCCCC/C=C/CCCCCCCC(=O)O
35,CCCCCCOC(=O)[C@@H](C)CC
36,NN
37,CCN(CC)CCN
38,CCN(CC)CCO
39,BrCc1ccccc1
40,[NH3+]O
41,C=C[C@H]1CC=CCC1
42,O=S(=O)([O-])Oc1ccc(C(c2ccc(OS(=O)(=O)[O-])cc2)c2ccccn2)cc1
43,CCc1ccccc1
44,C=Cc1ccccc1
45,CCCCC[C@@H](CO)CCC
46,OB(O)O
47,[Ca+2]
48,C=Cc1ccncc1
49,ClCc1ccccc1
50,NCc1ccccc1
51,N#Cc1ccccc1
52,N#Cc1ccncc1
53,Cc1ncc(CSSCc2cnc(C)c(O)c2CO)c(CO)c1O
54,O=C[C@@H]1CC=CCC1
55,OCc1ccccc1
56,CC[N+](C)(CC)CC
57,O=Cc1ccccc1
58,SCc1ccccc1
59,N#Cc1cccnc1
60,OCc1cccnc1
61,Cl[Hg]c1ccccc1
62,Cl/C=C\CCl
63,CNc1ccccc1
64,NNc1ccccc1
65,ON=C1CCCCC1
66,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1
67,ONc1ccccc1
68,c1ccc(C2(c3ccccc3)C[C@@H]2C2=NCCN2)cc1
69,C=Cc1ccccn1
70,N#Cc1ccccn1
71,CCNc1nc(N)nc(Cl)n1
72,CCN1CCOCC1
73,O=NN1CCCCC1
74,C1CN2CCC1CC2
75,COC(=O)c1c(Cl)nn(C)c1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1
76,C=Cc1cccc(C)c1
77,CC(C)(c1ccccc1)c1ccc(Nc2ccc(C(C)(C)c3ccccc3)cc2)cc1
78,C[N+](C)(C)Cc1ccccc1
79,Oc1ccccc1-c1nnco1
